company,position,companyLocation,employeePosition,employeeDepartment,title,score,createdAt,positive,negative,suggestion,atmosphere,image,workLife,career,salary,environment,teamwork,oldColleagues,leadership,workConditions,communication,equality,tasks
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Zufrieden",4.8,"2022-01-20T00:00:00+00:00","Ich kann mich bei Anliegen auf meinen Arbeitgeber verlassen.","Die Regelungen zu den Arbeitsverträgen, zb die befristeten, empfinde ich als sehr unsicher und schwierig auf Dauer zu planen - da könnte man durchaus etwas verändern, sodass beide Seiten davon profitieren.","- Aufstiegsmöglichkeiten transparenter machen und aktiver miteinander über diese Möglichkeiten sprechen<br/>- Arbeitsveträge schneller entfristen","Die Atmosphäre empfinde ich als sehr angenehm.","","","Im Grunde ok, jedoch noch ausbaufähig.","","","","","Zuverlässig und vertrauenswürdig.","","Ganz gleich, ob Wartezeit für einen Rückruf oder auch EMail - es geht schnell und meist wird ein Anliegen beim ersten Kontakt geklärt.","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","it","Projektleitung bei DB Immobilien",4.5,"2021-12-14T00:00:00+00:00","","","","","","","","","","Auch in Pandemiezeiten sehr gut!","","","","Freundliches offenes junges Team!","",""
"deutschebahn","contractor","Krefeld, Nordrhein-Westfalen","contractor","logistic","Arbeitnehmerfreundlicher Arbeitgeber",4.8,"2021-10-31T00:00:00+00:00","Gleitzeit und Home Office sind eine Option","Das in meinem Büro keine Hunde erlaubt sind und meine Führungskraft nicht in Revision geht","Es wäre schön wenn Hunde im Büro erlaubt werden","Immer abwechslungsreich","","","","Tarifvertrag, die Einstufung könnte besser sein","Papierloses Büro","","Sehr respektvoll","","Es dauert manchmal etwas länger aber man bekommt was man braucht","Auf beruflicher Ebene immer auf Augenhöhe","","Abteilungsübergreifende Zusammenarbeit"
"deutschebahn","contractor","Schwerin, Brandenburg","contractor","other","Der beste Arbeitgeber, eine große Familie... hier fühle ich mich wohl, wie zu Hause.",4.9,"2021-09-21T00:00:00+00:00","Der Zusammenhang, das arbeitsklima","Im Gebäude kann man sich verlaufen... lach","Bleibt wie ihr seid","Wohlfühlen groß geschrieben","Immer das Auge des Betrachters... meine Meinung, meine bewertung","Jeder weiß von vornherein worauf er sich einlässt... hinterher bringt dann motzen auch nichts mehr","Schon sehr früh nach Einstieg möglich","","","Ganz groß geschrieben sogar... einfach klasse","","","Alles bestens","Jederzeit zu einem Gespräch bereit","Gleiches recht für alle",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","product","Top Kollegen & Aufgaben",4.8,"2021-08-26T00:00:00+00:00","","","","Wertschätzend, respektvoll und förderend","","","Wurde immer unterstützt und angeregt","","","Nette, hilfsbereite und offene Kollegen. Kritik und Lob wird direkt ausgedruckt.","","","","","","Es war nie langweilig"
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Ich hab sehr vieles Neues gelernt und mich viel mehr gebildet seit ich bei der bahn bin .",5,"2020-09-30T00:00:00+00:00","Es ging sehr schnell obwohl Corona zeit war das DB für mich ein Plan gefunden hat mich zum Vorstellungen Gespräch einzuladen und mich einzustellen. Das fand ich sehr überraschend.","Bisher hab ich nichts schlechtes gesehen","Es ist schon so perfekt wie die deutscheBahn es bisher gemacht hat ich hab sa nichts zu verbessern ich hätte nie gedacht das arbeite spass macht","","","","Will mich auf jeden Fall weiter bilden bis zu ICE","","","Kollegen sind sehr hilfsbereit","","","","","","Ich hab zwar nur kiss Warnemünde<br/>Aber es macht mir sehr spass und ich freue mich sehr andere aufgaben auch mal zu bekommen"
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","product","Alles in allem zufrieden!",4.4,"2020-07-14T00:00:00+00:00","Die Deutsche Bahn hat einen großen Einfluss auf die Verkehrswende und leistet somit einen wichtigen Beitrag zu \"grüner Mobilität\". Bei DB Training, Learning & Consulting zu arbeiten gibt mir ein tolles Gefühl, da wir der Qualifizierungsanbieter des DB-Konzerns sind und somit alle aus- und weiterbilden.<br/>Ich stehe hinter meinem Arbeitgeber sowie hinter dem Produkt. Die netten Kollegen erleichtern das Arbeiten und Work-Life-Balance ist auch gegeben.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Stuttgart, Baden-Württemberg","contractor","administration","Ganz gut",3.8,"2020-06-09T00:00:00+00:00","Vielfältige und interessante Aufgaben. Und wer will kann und darf auch weitere Aufgaben übernehmen die eigentlich nicht zum eigentlichen Aufgabengebiet gehören","Schlechte Kommunikation zwischen HR und dem Rest der Firma","Die Kommunikation innerhalb des Betriebes läuft nicht optimal und ist daher ausbaufähig","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Es macht mir hier sehr viel Spaß zu arbeiten, jeden Tag wenn ich zur Arbeit komme habe ich ein Grinsen auf den Lippen.",4.5,"2020-06-07T00:00:00+00:00","Jeden Tag gibt es immer etwas Neues zu machen und das macht Spaß","Nichts","Keine ist einfach perfekt","","","","","","","","","","","","",""
"deutschebahn","contractor","Ulm, Baden-Württemberg","contractor","administration","Diese Firma ist nicht zu empfehlen. Als Zeitarbeiter, wird man als Unterschicht gesehen.",1.5,"2020-06-05T00:00:00+00:00","","","Einfach die Führungsspitzen ausstauschen.","Jede gegen jeden","","","","","","","","Nicht in Ordnung. Man wird umsonst immer wieder angeschriehen. Keine Hilfsbereitschaft","Wenn man","Man darf nicht fragen. Es wird nicht kommuniziert.","Als Zeitarbeiter wird man nicht als Mitarbeiter gesehen.","Die Arbeit war nicht schlecht. Immer wieder gab's neue Herausforderung"
"deutschebahn","contractor","Düsseldorf, Nordrhein-Westfalen","contractor","operations","Top Arbeitgeber",3.8,"2020-05-28T00:00:00+00:00","Dass Regelmässig die Führerstande desinfetioniert werden","Manche Weisungen kommen einfach viel zu spät","Mehr Desinfektionsmittel","Sehr gut . Bin zufrieden","Leider hat die DB in NRW an Ruf verloren. Wobei ich sagen muss dass es sehr ungerechtfertigt ist .","Es wird auf Ruhezeiten geachtet , auf Pausen. Schichten passen. Es wird dem Mitarbeiter sehr entgegen gekommen","","","","95 % der Arbeitskollegen sind super und 5 % hat man überall","Sehr gut","Top , Menschlich Klasse und es wird sich um alles Gekümmert.","Einfach klasse . Es wird auf den MA eingegangen","Manchmal Verwirrend aber es wird sich um alles Gekümmert","Jeder wird gleich behandelt","Man hat seine Strecken, irgendwann kennt man alles"
"deutschebahn","contractor","Nürnberg, Bayern","contractor","other","Glück gehabt",4.8,"2020-05-13T00:00:00+00:00","er hat frühzeitig die Mitarbeiter ins Home Office geschickt.","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Hannover, Niedersachsen","contractor","other","Bin sehr zufrieden im Geschäftszweig Db Netz/Zeitarbeit",4.6,"2020-04-29T00:00:00+00:00","Desinfektionsmittel u.sonstige Hygieneartikel werden zeitnah beschafft.","","Keine Vorschläge","","","","","","","","","","","","",""
"deutschebahn","contractor","Fulda, Hessen","contractor","other","Totale Ausnutzung der Leiharbeiter",1.2,"2020-04-01T00:00:00+00:00","","","","","","","Leiharbeiter, welche sich wirklich einbringen und mit denen auch direkte Vorgesetzte sehr zufrieden sind, haben keinerlei Möglichkeit auf Festanstellung! Nach Ablauf der Mindestüberlassungsdauer werden die meisten wieder nach Hause geschickt!","","","Es besteht leider keine direkte Kommunikation, dafür aber sehr viel Unehrlichkeit und Lügerei!","","Schlechteste Werkleitung ever, Großteil der Entscheidungen entstehen aus Vetternwirtschaft!!!","","So gut wie nicht vorhanden","",""
